Local time,Open,High,Low,Close,Volume
07.06.2024 15:00:00.000 GMT+0300,2336.468,2339.255,2313.404,2319.205,6550250.0534
07.06.2024 16:00:00.000 GMT+0300,2319.185,2327.885,2304.875,2309.405,7910369.873
07.06.2024 17:00:00.000 GMT+0300,2309.415,2321.005,2307.535,2313.255,5557839.8705
07.06.2024 18:00:00.000 GMT+0300,2313.265,2315.445,2304.415,2304.918,5007450.1038
07.06.2024 19:00:00.000 GMT+0300,2304.905,2314.445,2302.948,2311.545,2507849.9317
07.06.2024 20:00:00.000 GMT+0300,2311.645,2312.265,2303.568,2305.368,1605190.0387
07.06.2024 21:00:00.000 GMT+0300,2305.455,2307.085,2299.865,2301.425,1312844.9917
07.06.2024 22:00:00.000 GMT+0300,2301.425,2301.425,2287.528,2288.195,1650329.9475
07.06.2024 23:00:00.000 GMT+0300,2288.115,2294.205,2286.628,2293.415,988089.9787
10.06.2024 01:00:00.000 GMT+0300,2294.415,2298.295,2288.755,2297.275,734669.9834
10.06.2024 02:00:00.000 GMT+0300,2297.265,2300.038,2296.358,2298.328,892099.9765
10.06.2024 03:00:00.000 GMT+0300,2298.315,2299.685,2294.035,2296.865,1219840.0497
10.06.2024 04:00:00.000 GMT+0300,2296.865,2297.838,2293.835,2297.495,1017099.9765
10.06.2024 05:00:00.000 GMT+0300,2297.495,2301.128,2295.358,2296.118,1265419.96
10.06.2024 06:00:00.000 GMT+0300,2296.105,2297.618,2294.758,2295.178,861050.0097
10.06.2024 07:00:00.000 GMT+0300,2295.178,2295.665,2292.615,2294.695,802290.0224
10.06.2024 08:00:00.000 GMT+0300,2294.695,2297.165,2292.025,2295.578,1193259.9545
10.06.2024 09:00:00.000 GMT+0300,2295.575,2296.415,2287.665,2291.065,2535579.9198
10.06.2024 10:00:00.000 GMT+0300,2291.085,2297.115,2290.395,2296.405,2865649.9386
10.06.2024 11:00:00.000 GMT+0300,2296.405,2297.398,2292.348,2292.548,1569689.9891
10.06.2024 12:00:00.000 GMT+0300,2292.538,2297.385,2291.705,2295.195,2272079.9446
10.06.2024 13:00:00.000 GMT+0300,2295.195,2298.705,2295.195,2298.405,2102829.9332
10.06.2024 14:00:00.000 GMT+0300,2298.485,2305.175,2297.798,2304.975,2660599.947
10.06.2024 15:00:00.000 GMT+0300,2304.975,2308.605,2303.025,2306.075,2394119.978
10.06.2024 16:00:00.000 GMT+0300,2306.065,2307.735,2300.235,2305.575,3510839.9391
10.06.2024 17:00:00.000 GMT+0300,2305.705,2307.125,2301.725,2302.638,2886840.1051
10.06.2024 18:00:00.000 GMT+0300,2302.638,2308.528,2301.205,2307.228,2987920.0459
10.06.2024 19:00:00.000 GMT+0300,2307.525,2313.655,2306.855,2312.838,2532579.8988
10.06.2024 20:00:00.000 GMT+0300,2312.808,2313.308,2308.965,2311.788,1373669.982
10.06.2024 21:00:00.000 GMT+0300,2311.788,2311.938,2309.755,2310.848,1303120.0171
10.06.2024 22:00:00.000 GMT+0300,2310.805,2312.168,2308.568,2308.638,1417250.0372
10.06.2024 23:00:00.000 GMT+0300,2308.645,2310.955,2308.395,2310.645,485810.0116
11.06.2024 00:00:00.000 GMT+0300,2310.645,2310.645,2310.645,2310.645,0
11.06.2024 01:00:00.000 GMT+0300,2311.954,2312.385,2309.545,2309.545,290320.009
11.06.2024 02:00:00.000 GMT+0300,2309.575,2310.478,2308.675,2309.798,499980.0026
11.06.2024 03:00:00.000 GMT+0300,2309.825,2311.835,2308.965,2310.735,1097949.9817
11.06.2024 04:00:00.000 GMT+0300,2310.674,2310.674,2301.515,2302.718,3217089.8914
11.06.2024 05:00:00.000 GMT+0300,2302.688,2303.525,2298.625,2301.775,2158839.941
11.06.2024 06:00:00.000 GMT+0300,2301.785,2304.275,2300.645,2303.528,1665670.0373
11.06.2024 07:00:00.000 GMT+0300,2303.515,2303.858,2301.335,2303.465,808109.9987
11.06.2024 08:00:00.000 GMT+0300,2303.445,2304.268,2297.595,2299.445,1510589.9572
11.06.2024 09:00:00.000 GMT+0300,2299.465,2304.525,2298.605,2301.995,2412960.0525
11.06.2024 10:00:00.000 GMT+0300,2301.975,2305.325,2301.565,2304.425,2207880.0201
11.06.2024 11:00:00.000 GMT+0300,2304.445,2307.708,2303.115,2305.915,1632820.0102
11.06.2024 12:00:00.000 GMT+0300,2305.945,2307.298,2301.425,2306.265,1723610.0435
11.06.2024 13:00:00.000 GMT+0300,2306.298,2308.738,2305.155,2307.738,2044359.9224
11.06.2024 14:00:00.000 GMT+0300,2307.755,2308.145,2305.325,2307.545,2528980.0167
11.06.2024 15:00:00.000 GMT+0300,2307.515,2319.865,2307.505,2317.805,4050990.1047
11.06.2024 16:00:00.000 GMT+0300,2317.835,2319.445,2309.138,2314.505,6422329.9026
11.06.2024 17:00:00.000 GMT+0300,2314.464,2317.685,2312.285,2314.668,3728260.0403
11.06.2024 18:00:00.000 GMT+0300,2314.645,2315.815,2309.838,2310.018,3675884.9621
11.06.2024 19:00:00.000 GMT+0300,2310.018,2312.228,2305.795,2308.435,1922670.0068
11.06.2024 20:00:00.000 GMT+0300,2308.535,2313.368,2307.785,2312.675,1656200.0513
11.06.2024 21:00:00.000 GMT+0300,2312.685,2315.605,2312.035,2313.738,1808390.0213
11.06.2024 22:00:00.000 GMT+0300,2313.614,2315.568,2312.375,2315.218,1838870.0485
11.06.2024 23:00:00.000 GMT+0300,2315.248,2316.945,2314.625,2316.515,594500.0052
12.06.2024 00:00:00.000 GMT+0300,2316.515,2316.515,2316.515,2316.515,0
12.06.2024 01:00:00.000 GMT+0300,2316.405,2317.508,2315.045,2316.728,448260.0093
12.06.2024 02:00:00.000 GMT+0300,2316.828,2317.325,2313.835,2315.008,696829.9747
12.06.2024 03:00:00.000 GMT+0300,2315.055,2315.588,2313.325,2313.628,931389.9875
12.06.2024 04:00:00.000 GMT+0300,2313.605,2315.058,2310.685,2314.258,2730170.0115
12.06.2024 05:00:00.000 GMT+0300,2314.235,2315.405,2310.584,2313.518,1575710.0582
12.06.2024 06:00:00.000 GMT+0300,2313.475,2316.625,2313.425,2313.915,1566310.0481
12.06.2024 07:00:00.000 GMT+0300,2313.915,2314.228,2312.324,2312.565,704280.0188
12.06.2024 08:00:00.000 GMT+0300,2312.575,2315.285,2312.345,2314.905,1261870.0266
12.06.2024 09:00:00.000 GMT+0300,2314.905,2317.645,2313.675,2314.718,2303529.9778
12.06.2024 10:00:00.000 GMT+0300,2314.705,2315.368,2311.025,2314.445,1292880.0583
12.06.2024 11:00:00.000 GMT+0300,2314.445,2315.628,2310.665,2312.685,1485589.9811
12.06.2024 12:00:00.000 GMT+0300,2312.658,2315.338,2312.065,2313.938,1130239.9635
12.06.2024 13:00:00.000 GMT+0300,2313.945,2314.665,2312.128,2313.325,1275490.0455
12.06.2024 14:00:00.000 GMT+0300,2313.295,2314.668,2312.145,2312.828,2015990.0188
12.06.2024 15:00:00.000 GMT+0300,2312.745,2337.505,2311.465,2335.788,7534049.9878
12.06.2024 16:00:00.000 GMT+0300,2335.824,2341.495,2324.898,2329.735,8760129.9286
12.06.2024 17:00:00.000 GMT+0300,2329.695,2329.795,2319.955,2325.185,7211259.8419
12.06.2024 18:00:00.000 GMT+0300,2325.205,2337.005,2324.555,2335.475,6530660.1524
12.06.2024 19:00:00.000 GMT+0300,2335.475,2338.038,2333.015,2337.538,4142680.1682
12.06.2024 20:00:00.000 GMT+0300,2337.558,2339.408,2332.665,2334.578,4334640.0261
12.06.2024 21:00:00.000 GMT+0300,2334.498,2334.498,2319.298,2322.605,7964590.0726
12.06.2024 22:00:00.000 GMT+0300,2322.615,2324.528,2315.755,2321.215,5510950.0885
12.06.2024 23:00:00.000 GMT+0300,2321.235,2324.925,2320.205,2324.675,1117730.0215
13.06.2024 00:00:00.000 GMT+0300,2324.675,2324.675,2324.675,2324.675,0
13.06.2024 01:00:00.000 GMT+0300,2324.305,2325.398,2321.575,2321.785,555090.0102
13.06.2024 02:00:00.000 GMT+0300,2321.795,2322.225,2320.145,2320.448,862049.9969
13.06.2024 03:00:00.000 GMT+0300,2320.445,2322.815,2317.494,2320.645,1693740.0103
13.06.2024 04:00:00.000 GMT+0300,2320.675,2321.425,2307.985,2312.565,3179919.9581
13.06.2024 05:00:00.000 GMT+0300,2312.565,2316.008,2310.525,2314.008,1338850.0214
13.06.2024 06:00:00.000 GMT+0300,2314.008,2316.165,2312.475,2314.138,1731359.9586
13.06.2024 07:00:00.000 GMT+0300,2314.085,2314.658,2309.175,2311.685,845120.0128
13.06.2024 08:00:00.000 GMT+0300,2311.685,2312.158,2308.855,2311.525,1305629.9686
13.06.2024 09:00:00.000 GMT+0300,2311.545,2316.045,2311.095,2315.535,1696509.9573
13.06.2024 10:00:00.000 GMT+0300,2315.514,2318.525,2313.165,2316.905,2346529.9606
13.06.2024 11:00:00.000 GMT+0300,2317.005,2317.125,2313.845,2315.488,3111609.9358
13.06.2024 12:00:00.000 GMT+0300,2315.485,2318.285,2313.285,2315.355,1621330.0228
13.06.2024 13:00:00.000 GMT+0300,2315.385,2319.855,2315.185,2316.218,1760120.0342
13.06.2024 14:00:00.000 GMT+0300,2316.184,2316.528,2303.845,2306.948,3880630.0163
13.06.2024 15:00:00.000 GMT+0300,2306.935,2326.495,2305.414,2323.168,7230559.8259
13.06.2024 16:00:00.000 GMT+0300,2323.168,2324.675,2308.215,2310.635,7710050.106
13.06.2024 17:00:00.000 GMT+0300,2310.575,2314.278,2305.565,2313.435,7076509.9525
13.06.2024 18:00:00.000 GMT+0300,2313.455,2316.925,2297.645,2298.858,7607789.9933
13.06.2024 19:00:00.000 GMT+0300,2298.795,2300.205,2295.395,2299.178,4751589.7751
13.06.2024 20:00:00.000 GMT+0300,2299.155,2304.345,2298.938,2301.338,5125150.2037
13.06.2024 21:00:00.000 GMT+0300,2301.305,2303.838,2299.935,2302.948,2984309.9117
13.06.2024 22:00:00.000 GMT+0300,2302.895,2304.865,2302.598,2303.328,1472239.9712
13.06.2024 23:00:00.000 GMT+0300,2303.305,2304.238,2302.805,2303.905,520460.0096
14.06.2024 00:00:00.000 GMT+0300,2303.905,2303.905,2303.905,2303.905,0
14.06.2024 01:00:00.000 GMT+0300,2303.028,2303.954,2302.765,2302.795,356189.996
14.06.2024 02:00:00.000 GMT+0300,2302.825,2303.105,2301.648,2302.208,875689.9834
14.06.2024 03:00:00.000 GMT+0300,2302.145,2305.565,2301.415,2304.825,1131270.051
14.06.2024 04:00:00.000 GMT+0300,2304.745,2307.045,2302.948,2305.898,2087399.9596
14.06.2024 05:00:00.000 GMT+0300,2305.888,2306.955,2304.108,2306.585,1655660.0332
14.06.2024 06:00:00.000 GMT+0300,2306.565,2308.575,2304.848,2305.358,1485520.0052
14.06.2024 07:00:00.000 GMT+0300,2305.338,2306.005,2303.385,2305.815,883440.0177
14.06.2024 08:00:00.000 GMT+0300,2305.815,2311.465,2305.445,2309.765,1712280.035
14.06.2024 09:00:00.000 GMT+0300,2309.718,2312.675,2307.355,2312.565,3791810.0357
14.06.2024 10:00:00.000 GMT+0300,2312.555,2316.548,2309.265,2315.215,2888079.8817
14.06.2024 11:00:00.000 GMT+0300,2315.215,2321.525,2314.675,2317.228,3360490.0837
14.06.2024 12:00:00.000 GMT+0300,2317.245,2322.575,2315.105,2322.485,2407030.1056
14.06.2024 13:00:00.000 GMT+0300,2322.485,2332.565,2320.825,2330.405,3533720.0165
14.06.2024 14:00:00.000 GMT+0300,2330.365,2336.575,2325.985,2331.885,4857759.9525
14.06.2024 15:00:00.000 GMT+0300,2331.885,2333.258,2327.085,2330.255,4469989.7766
14.06.2024 16:00:00.000 GMT+0300,2330.225,2332.748,2324.088,2330.165,6786660.1944
14.06.2024 17:00:00.000 GMT+0300,2330.035,2335.358,2327.825,2329.944,3818900.1083
14.06.2024 18:00:00.000 GMT+0300,2329.878,2332.058,2323.945,2325.985,3157690.0482
14.06.2024 19:00:00.000 GMT+0300,2326.055,2331.808,2325.325,2328.748,2162569.9997
14.06.2024 20:00:00.000 GMT+0300,2328.795,2335.455,2328.395,2334.015,1770030.0217
14.06.2024 21:00:00.000 GMT+0300,2334.028,2335.078,2332.115,2334.588,1224380.0163
14.06.2024 22:00:00.000 GMT+0300,2334.588,2335.368,2332.058,2332.348,1599449.9922
14.06.2024 23:00:00.000 GMT+0300,2332.294,2332.898,2330.888,2332.184,601880.0139
17.06.2024 01:00:00.000 GMT+0300,2331.098,2332.488,2327.365,2328.624,735740.006
17.06.2024 02:00:00.000 GMT+0300,2328.708,2329.484,2327.228,2328.748,941259.9802
17.06.2024 03:00:00.000 GMT+0300,2328.748,2328.748,2325.095,2326.268,1851310.0147
17.06.2024 04:00:00.000 GMT+0300,2326.268,2328.815,2322.625,2326.175,2008919.9543
17.06.2024 05:00:00.000 GMT+0300,2326.138,2326.138,2321.375,2322.468,1694329.977
17.06.2024 06:00:00.000 GMT+0300,2322.374,2325.024,2321.545,2324.268,935100.019
17.06.2024 07:00:00.000 GMT+0300,2324.255,2326.128,2322.525,2323.545,758920.0139
17.06.2024 08:00:00.000 GMT+0300,2323.545,2323.545,2317.685,2318.435,1456050.0383
17.06.2024 09:00:00.000 GMT+0300,2318.435,2319.175,2315.365,2317.265,3247790.0982
17.06.2024 10:00:00.000 GMT+0300,2317.235,2320.015,2315.485,2316.848,2995179.8916
17.06.2024 11:00:00.000 GMT+0300,2316.835,2322.205,2316.318,2321.218,1894510.0307
17.06.2024 12:00:00.000 GMT+0300,2321.185,2322.535,2319.105,2319.965,1721250.0572
17.06.2024 13:00:00.000 GMT+0300,2319.965,2322.428,2319.425,2320.418,1898910.0456
17.06.2024 14:00:00.000 GMT+0300,2320.448,2321.835,2317.525,2318.078,2183370.1134
17.06.2024 15:00:00.000 GMT+0300,2318.055,2321.008,2316.595,2319.535,2455399.9901
17.06.2024 16:00:00.000 GMT+0300,2319.535,2326.128,2318.605,2320.815,2968780.0407
17.06.2024 17:00:00.000 GMT+0300,2320.835,2327.495,2318.215,2324.455,3067929.9831
17.06.2024 18:00:00.000 GMT+0300,2324.465,2325.458,2309.895,2312.455,3323740.0055
17.06.2024 19:00:00.000 GMT+0300,2312.455,2316.948,2312.455,2316.835,1624429.9412
17.06.2024 20:00:00.000 GMT+0300,2316.835,2318.268,2313.175,2316.618,1797569.9902
17.06.2024 21:00:00.000 GMT+0300,2316.648,2319.145,2316.055,2317.815,1612939.9538
17.06.2024 22:00:00.000 GMT+0300,2317.815,2320.475,2317.795,2320.075,1191959.9771
17.06.2024 23:00:00.000 GMT+0300,2320.068,2320.625,2318.358,2318.875,435779.9888
18.06.2024 00:00:00.000 GMT+0300,2318.875,2318.875,2318.875,2318.875,0
18.06.2024 01:00:00.000 GMT+0300,2318.098,2321.075,2318.098,2320.848,112080.0003
18.06.2024 02:00:00.000 GMT+0300,2320.854,2321.088,2318.995,2320.545,515320.003
18.06.2024 03:00:00.000 GMT+0300,2320.545,2325.428,2320.528,2324.008,1059949.9941
18.06.2024 04:00:00.000 GMT+0300,2324.048,2325.254,2319.108,2322.398,1722740.0541
18.06.2024 05:00:00.000 GMT+0300,2322.398,2325.535,2321.448,2324.258,1547919.9886
18.06.2024 06:00:00.000 GMT+0300,2324.235,2324.978,2323.028,2324.348,1159459.9485
18.06.2024 07:00:00.000 GMT+0300,2324.338,2324.688,2321.768,2322.415,1141540.0505
18.06.2024 08:00:00.000 GMT+0300,2322.408,2323.715,2319.315,2322.065,1268550.0383
18.06.2024 09:00:00.000 GMT+0300,2322.085,2322.645,2318.655,2320.005,1183189.9881
18.06.2024 10:00:00.000 GMT+0300,2319.955,2320.025,2314.865,2315.398,1456359.9825
18.06.2024 11:00:00.000 GMT+0300,2315.364,2315.364,2310.675,2311.188,1624565.0053
18.06.2024 12:00:00.000 GMT+0300,2311.118,2314.165,2310.718,2310.995,1590890.0499
18.06.2024 13:00:00.000 GMT+0300,2310.995,2312.285,2306.465,2308.228,1493219.9717
18.06.2024 14:00:00.000 GMT+0300,2308.228,2314.098,2306.605,2313.275,2252120.018
18.06.2024 15:00:00.000 GMT+0300,2313.275,2324.045,2311.355,2313.798,4063819.8853
18.06.2024 16:00:00.000 GMT+0300,2313.808,2327.625,2313.545,2326.635,5310810.0891
18.06.2024 17:00:00.000 GMT+0300,2326.605,2327.008,2322.075,2323.488,4126220.2263
18.06.2024 18:00:00.000 GMT+0300,2323.458,2329.685,2318.615,2326.758,4154749.8703
18.06.2024 19:00:00.000 GMT+0300,2326.768,2330.635,2326.365,2330.145,3277189.97
18.06.2024 20:00:00.000 GMT+0300,2330.185,2333.008,2328.175,2329.605,3535409.9274
18.06.2024 21:00:00.000 GMT+0300,2329.615,2331.345,2327.345,2331.155,1966740.0122
18.06.2024 22:00:00.000 GMT+0300,2331.155,2331.155,2328.345,2329.158,1413730.0253
18.06.2024 23:00:00.000 GMT+0300,2329.215,2330.485,2328.805,2329.165,384249.9852
19.06.2024 00:00:00.000 GMT+0300,2329.165,2329.165,2329.165,2329.165,0
19.06.2024 01:00:00.000 GMT+0300,2328.585,2330.215,2327.308,2328.104,336389.9887
19.06.2024 02:00:00.000 GMT+0300,2328.104,2329.495,2327.898,2328.195,256660.0144
19.06.2024 03:00:00.000 GMT+0300,2328.215,2329.788,2327.948,2329.388,718990.0279
19.06.2024 04:00:00.000 GMT+0300,2329.365,2330.865,2326.348,2330.045,1583819.9854
19.06.2024 05:00:00.000 GMT+0300,2330.045,2331.125,2328.715,2330.185,1050889.9689
19.06.2024 06:00:00.000 GMT+0300,2330.185,2331.635,2327.855,2328.145,909380.0187
